Project Name,Country,Start Date,Capacity (kt H2/y),Length (km),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated)
Green Crane - La Robla,ESP,,280,,48.51093333,Production,2028,Solar PV,1.986542158
Green Crane Pais Vasco Hub,ESP,,150,,25.988,Production,,Others/Various,1.992796025
"Green Crane, Aragon Hub",ESP,,30,,5.1976,Production,,Others/Various,1.998568826
"Green Crane, Asturias Hub, Phase I",ESP,,5,,0.866266667,Production,,Offshore wind,1.999771493
"Green Crane, Asturias Hub, Phase II",ESP,,100,,17.32533333,Production,,Offshore wind,1.995201359
"Green Crane, Murcia (part of Green Crane Gigafactory)",ESP,,144.297368,,25,Production,,,1.99307036
Green Energy Hub Helmstedt,DEU,,20,,3.465066667,Production,,Others/Various,4.999049893
Green Energy Manufacturing Centre (GEM) -Gladstone -phase 1,AUS,,30,,4.497923077,Production,2025,Others/Various,1.998568826
Green Energy Manufacturing Centre (GEM) -Gladstone -phase 2,AUS,,20,,2.998615385,Production,2028,Others/Various,1.999049893
"Green Energy Oman (GEO), phase 1 (former Oman-Al Wusta green H2 project)",OMN,,1731.568416,,300,Production,2030,Others/Various,1.916712027
Green Energy Park (GEP) phases I to VI,BRA,,16161.30522,,2800,Production,,Others/Various,1.22254536
"Green fertilizer project Porsgrunn-Heroya, phase 1 - SKREI",NOR,,24,,3.598338462,Production,2024,,1.998857466
Green Fuel Iceland - phase I,ISL,,30,,5.084608696,Production,2026,Others/Various,1.998568826
Green Fuel Iceland - phase II,ISL,,70,,11.86408696,Production,2028,Others/Various,1.996644559
Green Fuels for Denmark - Phase 1,DNK,,10,,1.732533333,Production,2025,Others/Various,1.99953096
Green Fuels for Denmark - Phase 2,DNK,,240,,41.5808,Production,2027,Others/Various,1.988466425
Green Fuels for Denmark - Phase 3,DNK,,1050,,181.916,Production,2030,Others/Various,1.949500017
Green H2 Hub Neumünster,DEU,,50,,8.662666667,Production,2026,,4.997606693
GREEN H2 Langosteira,ESP,,1,,0.173253333,Production,2024,Unknown,6.99996392
Green H2 Setúbal Project,PRT,,7.5,,1.124480769,Production,2030,Solar PV,1.999651227
Green HyChemical Huelva,ESP,,20,,3.465066667,Production,,Unknown,6.999049893
Green Hydrogen 1/HyRo Scotland,GBR,,15,,2.5988,Production,2025,Unknown,6.999290427
Green Hydrogen Almazan,ESP,,300,,51.976,Production,,Others/Various,1.985580024
"Green Hydrogen and Ammonia Production Project, - Abu Dhabi",ARE,,200,,34.65066667,Production,,Solar PV,1.990390692
"Green Hydrogen and Chemicals SPC, phase I (former ACME-Scatec Oman)",OMN,,320,,55.44106667,Production,2027,Solar PV,1.98461789
"Green Hydrogen and Chemicals SPC, phase II (former ACME-Scatec Oman)",OMN,,3180,,550.9456,Production,,Solar PV,1.847032798
Green Hydrogen Esslingen (P2G2P),DEU,,0.5,,0.084743478,Production,2021,,4.999987973
Green hydrogen for fragrance industry,ESP,,1.25,,0.187413462,Production,2024,Solar PV,1.999951893
Green hydrogen for national industry and derivatives for export,COL,,2300,,398.4826667,Production,2040,,1.889366673
Green hydrogen for oil industry,ESP,,2.5,,0.433133333,Production,2026,Solar PV,1.99989176
"Green Hydrogen for the City of Cockburn, phase 1",AUS,,1.25,,0.216566667,Production,2024,Solar PV,1.999951893
Green Hydrogen Hub Stuttgart (GH2S),DEU,,10,,1.732533333,Production,2026,,4.99953096
"Green Hydrogen Kherson region, phase 1",UKR,,46,,7.7964,Production,,Others/Various,1.99779912
"Green Hydrogen Kherson region, phase 2",UKR,,46,,9.437747368,Production,,Others/Various,1.99779912
"Green Hydrogen Kherson region, phase 3",UKR,,92,,18.87549474,Production,,Others/Various,1.995586213
"Green Hydrogen Oman (GEO), phase 2 (former Oman-Al Wusta green H2 project)",OMN,,9333,,1616.97336,Production,2038,Others/Various,1.551032424
Green Hydrogen Plant (GHP),IDN,,0.294366631,,0.051,Production,2023,Others/Various,1.999997866
Green Hydrogen Production Facility,KOR,,4.307116105,,0.73,Production,2025,Solar PV,1.999804826
"Green hydrogen Project, Mohammad Bin Rashid Solar Park",ARE,,1.25,,0.187413462,Production,2021,Solar PV,1.999951893
Green hydrogen Projecte Alperujo/Jaen,ESP,,9,,1.55928,Production,,Unknown,6.999579067
Green Hysland Mallorca - Phase 1,ESP,,2.5,,0.374826923,Production,2022,Solar PV,1.99989176
Green Iron Trial Commercial Plant - Christmas Creek,AUS,,8.657842081,,1.5,Production,2025,Others/Various,1.999595527
Green lab skive (Phase I),DNK,,6,,1.03952,Production,2024,Others/Various,1.999723387
Green lab skive (Phase II),DNK,,18,,3.11856,Production,2024,Others/Various,1.999146107
Green lab skive (Phase III),DNK,,226,,39.15525333,Production,2027,Others/Various,1.989139918
Green Marlin,IRL,,3200,,554.4106667,Production,2026,Offshore wind,1.846070665
Green Natural Gas,DNK,,0.04,,0.008206737,Production,2011,,1.999989898
Green NortH2 Energy Kemi,FIN,,280,,48.51093333,Production,2030,,1.986542158
Green NortH2 Energy Naantali,FIN,,280,,48.51093333,Production,2027,,1.986542158
Green NortH2 Energy Pori,FIN,,280,,48.51093333,Production,2030,Offshore wind,1.986542158
Green Pegasus,CHL,,1590.215892,,275.5102041,Production,,Solar PV,1.923512027
Green Port Langosteira,ESP,,311.8070377,,54.02160864,Production,,Unknown,6.985012027
Green Port Paldiski,EST,,24,,3.598338462,Production,2030,Unknown,6.998857466
Green Port Paldiski,EST,,24,,3.598338462,Production,2030,Unknown,6.998857466
Green Shepherd,AUS,,10,,1.732533333,Production,,,1.99953096
Green Springs,AUS,,2885.94736,,500,Production,,Solar PV,1.861178693
Green Steel - H2V CAP,CHL,,12,,2.07904,Production,2025,,1.999434747
"Green Technology Bank's 380,000 tons per year green methanol project",CHN,,419.6413345,,72.70426,Production,2024,,1.979824477
Green Urea production in Colombia,COL,,30,,5.084608696,Production,2027,Solar PV,1.998568826
Green Wolverine,SWE,,600,,103.952,Production,2026,Others/Various,1.971148021
Greenb2e - Valencia,ESP,,80.80652609,,14,Production,2028,,1.996124693
GreenGo Tarm plant (Megaton),DNK,,2000,,346.5066667,Production,2030,Others/Various,1.903798676
GreenH Bodo,NOR,,15,,2.5988,Production,2026,,1.999290427
GreenH Kristiansund,NOR,,24,,4.067686957,Production,2026,,1.998857466
GreenH Sandnessjøen,NOR,,20,,3.465066667,Production,2027,,1.999049893
GreenH2Atlantic,PRT,,100,,14.99307692,Production,2028,,1.995201359
GreenH2CY,CYP,,2,,0.346506667,Production,2025,,1.999915813
"GreenH2UB (10 hubs of 3-10MW, the first one Ref786)",NLD,,95,,16.45906667,Production,2030,Onshore wind,1.995441892
"GreenH2UB (1st hub, Noord Brabant)",NLD,,5,,0.749653846,Production,2026,Others/Various,1.999771493
"Greenhouse heating, solar-H2",ITA,,0.0025,,0.000423717,Production,2013,,1.999988094
GreenHydroChem Central German Chemical Triangle,DEU,,120,,17.99169231,Production,,,4.994239226
GreenHyScale,DNK,,100,,16.94869565,Production,2024,,1.995201359
Greening of Gas (GoG) - Net4Gas DEMO,CZE,,0.45,,0.077964,Production,2025,Unknown,6.999990379
Greenko green ammonia project,IND,,3440,,595.9914667,Production,2026,Unknown,6.834525063
Greenko ZeroC - Kakinada city ,IND,,1300,,220.3330435,Production,2027,Others/Various,1.937473348
GreenMotionSteel,DEU,,120,,20.7904,Production,2029,,4.994239226
Grenian Hydrogen - Middlewich,GBR,,7.5,,1.124480769,Production,2026,,1.999651227
Grenian Hydrogen - St Helens,GBR,,7.5,,1.124480769,Production,2026,,1.999651227
Grenian Hydrogen - Stretford,GBR,,7.5,,1.124480769,Production,2026,,1.999651227
Grenian Hydrogen - Winnington,GBR,,7.5,,1.124480769,Production,2026,,1.999651227
Grenzland Energie Kompakt,DEU,,4,,0.599723077,Production,2025,Others/Various,4.9998196
Grey2Green (Phase I),PRT,,100,,14.99307692,Production,2025,,1.995201359
Grey2Green (Phase II),PRT,,210,,31.48546154,Production,2027,,1.989909625
Grey2Green (Phase III,PRT,,200,,29.98615385,Production,2029,,1.990390692
GRHYD,FRA,,0.52,,0.077964,Production,2018,,1.999987011
Grimstad Renewable Energy Park,NOR,,0.05,,0.008474348,Production,2000,,1.999990379
GrInHy,DEU,,0.15,,0.030775263,Production,2017,,4.999995189
GrInHy2.0,DEU,,0.7,,0.155928,Production,2020,,4.999978352
GROHW,NLD,,0.5,,0.086626667,Production,2023,Unknown,6.999987973
Gron Fuel Renewable Energy Complex,USA,,1000,,173.2533333,Production,2030,,1.951905351
Ground Investment Corp (GIC) - green hydrogen project,ROU,,10,,1.499307692,Production,,Onshore wind,1.99953096
Grupa Lotos refinery,POL,,100,,17.32533333,Production,2027,Others/Various,1.995201359
Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,,4,,0.599723077,Production,2019,Unknown,6.9998196
Guelmim-Oued Noun - Chbika project - phase 1,MAR,,400,,69.30133333,Production,2030,Unknown,6.980769356
Guelmim-Oued Noun - Chbika project - phase 1,MAR,,800,,138.6026667,Production,2032,Unknown,6.961526686
GuofuHee - CMEC - Longyuan Power grren H2 plant in Inner Mongolia,CHN,,38.09450516,,6.6,Production,,Others/Various,1.998179427
Guoneng Zhongdian Group Guzhou Green Methanol Project,CHN,,176.6910882,,30.61232,Production,,,1.991512006
Gwalpahari Solar-Hydrogen demonstration,IND,,0.12,,0.0207904,Production,2015,Solar PV,1.999993746
Gwalpahari Solar-Hydrogen demonstration,IND,,0.223949515,,0.0388,Production,2015,Unknown,6.999998747
Gyeongnam Changwon Green Energy Center,KOR,,0.125,,0.025646053,Production,2023,Solar PV,1.999993987
GZI Next,NLD,,10,,1.499307692,Production,2025,Others/Various,1.99953096
H&R Ölwerke Hamburg-Neuhof,DEU,,5,,0.749653846,Production,2017,,4.999771493
H1 Magallanes,CHL,,981.2221025,,170,Production,2028,Onshore wind,1.952808693
"H100 Fife Project, Levenmouth",GBR,,5,,0.847434783,Production,2025,Others/Various,1.999771493
H2 - Jurong Island,SGP,,9,,1.525382609,Production,2024,Unknown,6.999579067
H₂ Air Base Leeuwarden,NLD,,5,,0.866266667,Production,2030,Solar PV,1.999771493
H2 Alcarria,ESP,,5,,0.866266667,Production,2026,,1.999771493
H2 Bordeaux,FRA,,30.37839327,,5.263157895,Production,2027,Unknown,6.998550623
H2 Cel-Za - Portuguese section,PRT,2030,750,162 km,385,Infrastructure,,,1.96393202
H2 Creteil,FRA,,2.5,,0.433133333,Production,2025,Others/Various,1.99989176
"H2 Emden Electrolyzer, phase 1",DEU,,10,,1.732533333,Production,2026,Unknown,9.99953096
"H2 Emden Electrolyzer, phase 2",DEU,,190,,32.91813333,Production,,Unknown,9.990871758
H2 Energy Europe Esbjerg green hydrogen,DNK,,1000,,149.9307692,Production,2025,Offshore wind,1.951905351
H2 Era Green Valley,ITA,,15,,2.5988,Production,,Solar PV,1.999290427
H2 Évora - GreenGas I,PRT,,0.100046175,,0.015,Production,2022,Solar PV,1.999992786
H2 Évora - GreenGas II,PRT,,0.300138525,,0.045,Production,2023,Solar PV,1.999997588
H2 for Ovako steel mill in Smedjebacken,SWE,,17,,2.881278261,Production,2025,,1.999194213
"H2 from the sun, Brunate",ITA,,0.007,,0.001186409,Production,2007,,1.99998831
H2 Genesis Project,CHL,,100,,17.32533333,Production,2025,Unknown,6.995201359
H2 Green - Shoreham port - phase I,GBR,,20,,3.465066667,Production,2024,Unknown,6.999049893
H2 Green - Shoreham port - phase II,GBR,,63.20224719,,10.95,Production,2029,Unknown,6.996971577
"H2 Green City, phase 1",ESP,,1,,0.149930769,Production,2024,Solar PV,1.99996392
"H2 Green City, phase 2",ESP,,49,,8.489413333,Production,,Solar PV,1.9976548
H2 Green Steel (H2GS)  - phase 1,SWE,,800,,135.5895652,Production,2025,Hydropower,1.961526686
H2 Green Steel (H2GS) - phase 2,SWE,,800,,138.6026667,Production,2030,Hydropower,1.961526686
H2 hub Darwin,AUS,,1000,,173.2533333,Production,,Solar PV,1.951905351
H2 in the Ketzin energy transition laborator,DEU,,2,,0.346506667,Production,,Others/Various,4.999915813
H2 Logic 3 HRS with onsite electrolysis in Copenhagen,DNK,,1.292134831,,0.219,Production,2013,,1.999949866
H2 Logic HRS with onsite electrolysis Aalborg,DNK,,0.43071161,,0.073,Production,2013,,1.999991307
H2 Logic HRS with onsite electrolysis Holstebro,DNK,,0.43071161,,0.073,Production,2013,,1.999991307
H2 Logic HRS with onsite electrolysis in Vejle,DNK,,0.43071161,,0.073,Production,2013,,1.999991307
H2 Loire Vallée (H2LV),FRA,,4,,0.693013333,Production,2025,,1.9998196
H2 Magallanes - Phase 1,CHL,,3600,,623.712,Production,2030,Onshore wind,1.826827995
H2 Magallanes - Phase 2,CHL,,3700,,641.0373333,Production,2033,Onshore wind,1.822017327
H2 Park Zeewolde,NLD,,15,,2.5988,Production,2028,Onshore wind,1.999290427
H2 Pierre-Bénite (Phase 1),FRA,,20,,3.465066667,Production,2025,,1.999049893
"H2 Pierre-Bénite (Phase 2, final)",FRA,,20,,3.465066667,Production,2030,,1.999049893
H2 PILLAR,ESP,,20,,3.465066667,Production,2027,Others/Various,1.999049893
"H2 Pilotanlage Lingen, phase 1",DEU,,10,,1.694869565,Production,2024,Offshore wind,4.99953096
"H2 Pilotanlage Lingen, phase 2",DEU,,4,,0.599723077,Production,2024,Offshore wind,4.9998196
H2 plant - St Lawrence Hydro Production,USA,,92.16994382,,15.96875,Production,2027,Hydropower,1.995578037
H2 plant Data center,USA,,1000,,173.2533333,Production,,Unknown,6.951905351
H2 plant Wilbarger County,USA,,973.7827715,,146,Production,2027,Others/Various,1.953166575
H2 production for a H2 Fuell station ,NLD,,1,,0.173253333,Production,2025,Unknown,6.99996392
H2 project - AEM Flex electrolyser,DEU,,0.12,,0.0207904,Production,2023,Unknown,9.999993746
H2 project - Port of Mombasa ,KEN,,1000,,173.2533333,Production,,Unknown,6.951905351
H2 project - Profen mine,DEU,,90,,15.5928,Production,2026,Unknown,9.995682426
H2 project Ascension Parish Louisiana,USA,,507.9267354,,88,Production,2027,Others/Various,1.97557736
H2 project Coesfeld area,DEU,,50,,8.662666667,Production,2028,,4.997606693
H2 project Lubmin - Deutsche ReGas - phase 1,DEU,,200,,29.98615385,Production,2026,Offshore wind,4.990390692
H2 project Lubmin - Deutsche ReGas - phase 2,DEU,,300,,44.97923077,Production,2028,Offshore wind,4.985580024
H2 project Narngulu industrial estate,AUS,,1039.356792,,180.0720288,Production,2027,Unknown,6.950012027
H2 project US Gulf coast,USA,,20,,3.465066667,Production,2025,,1.999049893
H2 Puerto Sevilla,ESP,,9.1,,1.576605333,Production,,Solar PV,1.999574256
H2 research center BTU Cottbus,DEU,,0.14,,0.023728174,Production,2012,,4.999994708
H2 Solar Project,CHL,,0.923503155,,0.16,Production,,Solar PV,1.9999676
H2 Solar Rodao,PRT,,30,,5.1976,Production,2025,,1.998568826
H2 Triangle,FIN,,4,,0.599723077,Production,2026,Solar PV,1.9998196
"H2 Valcamonica,",ITA,,6,,1.03952,Production,2026,,1.999723387
H2@Hydro,DEU,,50,,7.496538462,Production,2026,Hydropower,4.997606693
H24U project (former Proyecto Verne),URY,,5,,0.866266667,Production,2025,Solar PV,1.999771493
H2Agrar,DEU,,2,,0.346506667,Production,,Onshore wind,4.999915813
H2BCNHUB,ESP,,20,,3.465066667,Production,,Unknown,6.999049893
H2BER (Berlin airport),DEU,,0.5,,0.084743478,Production,2014,Onshore wind,4.999987973
"H2biscus, phase 1",MYS,,50.50407881,,8.75,Production,2028,Hydropower,1.997582443
"H2biscus, phase 2",MYS,,818.4933431,,141.8067,Production,,Hydropower,1.960637033
"H2biscus, phase 3",MYS,,634.9835982,,110.013025,Production,,Hydropower,1.969465077
H2BYCOL,FRA,,1,,0.173253333,Production,2025,,1.99996392
H2CRETE Valley,GRC,,90.04155764,,13.5,Production,,Onshore wind,1.995680427
H2Enable (Phase 1),PRT,,40,,6.779478261,Production,2026,Unknown,6.99808776
H2Enable (Phase 2),PRT,,470,,81.42906667,Production,2030,Unknown,6.977401889
H2Enable (Phase 3),PRT,,400,,69.30133333,Production,2035,Unknown,6.980769356
H2Enable (Phase 4),PRT,,600,,103.952,Production,2040,Unknown,6.971148021
H2era,NLD,,500,,86.62666667,Production,2027,Offshore wind,1.975958689
H2ercules,DEU,,1000,,173.2533333,Production,2030,Unknown,9.951905351
H2ermes,NLD,,100,,17.32533333,Production,2025,,1.995201359
H2eron,NLD,,50,,8.474347826,Production,2028,Others/Various,1.997606693
H2FUTURE,AUT,,6,,0.899584615,Production,2019,,1.999723387
H2Gas,ESP,,0.015,,0.0025988,Production,,Solar PV,1.999988695
H2GN - Power-to-gas Coquimbo,CHL,,0.15,,0.025988,Production,2023,Solar PV,1.999995189
H2GO Energy Park Oude-Tonge - 1st phase,NLD,,2.5,,0.433133333,Production,2025,Others/Various,1.99989176
H2GO Energy Park Oude-Tonge - 2nd phase,NLD,,23.5,,4.071453333,Production,2030,Others/Various,1.99888152
H2H/Easington Hydrogen Production Green,GBR,,1000,,173.2533333,Production,2028,,1.951905351
H2Herten,DEU,,0.165,,0.027965348,Production,2012,,4.999995911
H2Hollandia,NLD,,5,,0.866266667,Production,2025,Solar PV,1.999771493
H2HUB,FRA,,2,,0.346506667,Production,,Solar PV,1.999915813
H2-hub Gladstone (Queensland) - phase 1,AUS,,150,,25.988,Production,2025,Others/Various,1.992796025
H2-hub Gladstone (Queensland) - phases 2-3,AUS,,2850,,493.772,Production,2030,Others/Various,1.862908001
H2Hub HyChem,PRT,,10,,1.694869565,Production,2025,Solar PV,1.99953096
H2HubNS,POL,,5,,0.749653846,Production,2024,,1.999771493
H2Iseo valley,ITA,,5,,0.866266667,Production,2025,,1.999771493
H2KT - Hydrogen Energy Storage in Nuuk,DNK,,0.0874,,0.01481316,Production,2010,,1.999992178
H2Kwinana,AUS,,105,,18.1916,Production,2027,,1.994960826
H2-Login,ESP,,0.014606742,,0.00219,Production,2022,Solar PV,1.999988676
H2Mare,DEU,,14,,2.099030769,Production,2026,Offshore wind,4.999338533
H2-MeOH production and heavy truck integrated technology park in Zhenyuan,CHN,,33.12957904,,5.73981,Production,2026,,1.998418273
"H2Move, Fraunhofer ISE",DEU,,0.04,,0.005997231,Production,2013,Solar PV,4.999989898
H2MUCTYNIC (Confidential data from H2 Europe),SVK,,20,,3.465066667,Production,2025,Others/Various,1.999049893
"H2Nodes, Riga",EST,,0.728,,0.1091496,Production,2019,,1.999977005
H2Nord Gmbh&Co.,DEU,,50,,8.662666667,Production,,Others/Various,4.997606693
H2Notos- Phase 1,TUN,,2000,,346.5066667,Production,2030,Others/Various,1.903798676
H2Notos- Phase 2,TUN,,8000,,1386.026667,Production,2035,Others/Various,1.615158622
H2Oman (Dhofar),OMN,,2078.713585,,360.1440576,Production,2030,Unknown,6.900012027
H2One - Asahi Breweries in Ibaraki,JPN,,0.0052,,0.00077964,Production,2017,,1.999988223
"H2One - Hydrogen Application Center, Fuchu Complex",JPN,,0.0052,,0.00077964,Production,2017,,1.999988223
"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,,0.0052,,0.00077964,Production,2016,,1.999988223
H2One - SP Group,SGP,,0.0052,,0.00077964,Production,2019,,1.999988223
H2One - SP Group,SGP,,0.0052,,0.00077964,Production,2019,,1.999988223
H2One - Toranomon Hills Business Tower,JPN,,0.0052,,0.00077964,Production,2020,,1.999988223
H2One - Toyama City Environment Center ,JPN,,0.0052,,0.00077964,Production,2020,,1.999988223
H2One - Tsuruga City,JPN,,0.0052,,0.00077964,Production,2020,,1.999988223
H2One - Yokohama Cargo Center,JPN,,0.0052,,0.00077964,Production,2016,,1.999988223
H2One Multistation- Tsuruga City,JPN,,0.0052,,0.00077964,Production,2020,,1.999988223
H2opZee,NLD,,500,,74.96538462,Production,2033,Offshore wind,1.975958689
H2ORIZON,DEU,,0.8,,0.119944615,Production,2020,,4.999973541
H2OSSA,ESP,,50,,8.662666667,Production,2028,,1.997606693
H2OzBus Project,AUS,,2,,0.299861538,Production,,,1.999915813
H2Perth electrolysis - I,AUS,,250,,43.31333333,Production,,,1.987985358
H2Perth electrolysis - II,AUS,,2750,,476.4466667,Production,,,1.867718669
H2Pioneer - H2 Carinthia,AUT,,2,,0.299861538,Production,2023,Others/Various,1.999915813
H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,,0.045,,0.0077964,Production,2019,Unknown,6.999990138
H2RES - Orsted offshore wind,DNK,,2,,0.338973913,Production,2022,Offshore wind,1.999915813
H2Rivers,DEU,,8.190914925,,1.228070175,Production,2024,,4.999617989
H2SusBuild,GRC,,0.22,,0.038115733,Production,2010,,1.999998557
H2SusBuild / RES-H2,GRC,,0.0184,,0.00311856,Production,2010,,1.999988858
H2tALENT DEMO project,PRT,,11,,1.905786667,Production,2029,,1.999482853
H2TAS - phase I,AUS,,350,,60.63866667,Production,,Others/Various,1.98317469
H2TAS - phase II,AUS,,400,,69.30133333,Production,,Others/Various,1.980769356
"H2UDF, phase I",ESP,,2.5,,0.433133333,Production,2025,,1.99989176
"H2UDF, phase II",ESP,,7.5,,1.2994,Production,2025,,1.999651227
"H2UDF, phase III",ESP,,15,,2.5988,Production,2026,,1.999290427
"H2V 59, 1st phase",FRA,,200,,33.8973913,Production,2027,,1.990390692
"H2V 59, 2nd phase",FRA,,300,,50.84608696,Production,2029,,1.985580024
H2V Frontera Project,CHL,,227,,39.32850667,Production,,Onshore wind,1.989091811
H2V Marseille - Fos (Phase 1),FRA,,100,,17.32533333,Production,2026,,1.995201359
H2V Marseille - Fos (Phase 2),FRA,,100,,17.32533333,Production,2027,,1.995201359
H2V Marseille - Fos (Phase 3),FRA,,100,,17.32533333,Production,2028,,1.995201359
H2V Marseille - Fos (Phase 4),FRA,,100,,17.32533333,Production,2029,,1.995201359
H2V Marseille - Fos (Phase 5),FRA,,100,,17.32533333,Production,2030,,1.995201359
"H2V Marseille - Fos (Phase 6, final)",FRA,,100,,17.32533333,Production,2031,,1.995201359
H2V Thionville P1,FRA,,200,,34.65066667,Production,2028,,1.990390692
H2V Thionville P2,FRA,,200,,34.65066667,Production,2030,,1.990390692
H2V Valenciennes P1,FRA,,200,,34.65066667,Production,2028,Unknown,6.990390692
H2V Valenciennes P2,FRA,,200,,34.65066667,Production,2028,Unknown,6.990390692
H2-Vallmoll,ESP,,15,,2.248961538,Production,2026,,1.999290427
Haapavesi biorefinery facility,FIN,,192.7259367,,33.39041096,Production,,Onshore wind,1.990740623
HAEOLUS,NOR,,2.5,,0.374826923,Production,2021,Onshore wind,1.99989176
Halcyon Power,NZL,,1.5,,0.224896154,Production,2021,Others/Various,1.999939867
Haldor Topsoe - El-Opgraderet Biogas I,DNK,,0.038,,0.0077964,Production,2013,,1.999989801
Haldor Topsoe - El-Opgraderet Biogas II,DNK,,0.038,,0.0077964,Production,2017,,1.999989801
Hamburg - Schnackenburgallee,DEU,,0.185,,0.027737192,Production,2016,,4.999996873
Hamburg Green Hydrogen Hub (HGHH) project - old Moorburg plant,DEU,,100,,14.99307692,Production,2027,Others/Various,4.995201359
"Hamburg Hafen City, CEP",DEU,,0.6,,0.101692174,Production,2011,,4.999983163
"Hanau, Wolfgang Industrial Park",DEU,,0.0208,,0.00311856,Production,2014,,4.999988974
Handan one million tons green methanol preparation demonstration area project,CHN,,1104.319301,,191.327,Production,,,1.946886896
Hapora Project,FRA,,350,,60.63866667,Production,2029,,1.98317469
Hardanger Hydrogen Hub,NOR,,75,,12.994,Production,2030,,1.996404026
"HARI project, West Beacon Farm",GBR,,0.034,,0.005762557,Production,2004,,1.999989609
"HARP System, Bella Coola",CAN,,0.3,,0.050846087,Production,2010,,1.999997595
"Haru Oni, phase 1",CHL,,1,,0.149930769,Production,2022,Onshore wind,1.99996392
"Haru Oni, phase 2",CHL,,412.6904725,,61.875,Production,2025,Others/Various,1.98015886
"Haru Oni, phase 3",CHL,,2000,,346.5066667,Production,,Others/Various,1.903798676
Hassfurt,DEU,,1.25,,0.187413462,Production,2016,,4.999951893
Hawaii Hydrogen Power Park (phase 2),USA,,0.005,,0.000749654,Production,2007,,1.999988214
H-Awel,GBR,,50,,7.496538462,Production,2024,Onshore wind,1.997606693
HaYrport,BEL,,0.75,,0.127115217,Production,2024,,1.999975947
HBIS DRI in Zhangxuan Technology of Hesteel Group,CHN,,869.5243959,,150.648,Production,,Unknown,6.958182099
HDF MSR-Zimbawe (Manicaland),ZWE,,22.12559643,,3.833333333,Production,2029,Solar PV,1.998947638
Hebei Jiantou Guyuan wind project - 1st phase,CHN,,4,,0.677947826,Production,2019,Onshore wind,1.9998196
Hebei Jiantou Guyuan wind project - 2nd phase,CHN,,6,,1.016921739,Production,2021,Onshore wind,1.999723387
Heliogen Arizona green H2,USA,,324.9362954,,66.66666667,Production,,Solar PV,1.984380422
Hellenic Hydrogen in  Western Macedonia,GRC,,100,,17.32533333,Production,2027,Unknown,6.995201359
Hellisheidi ON Power ely,ISL,,0.7,,0.121277333,Production,2018,,1.999978352
HELMETH (R&D),DEU,,0.015,,0.003077526,Production,2016,,4.999988695
Hemnes project Fortescue,NOR,,300,,51.976,Production,2028,,1.985580024
Hemweg hub Amsterdam - Hy4Am,NLD,,10,,1.732533333,Production,2027,Offshore wind,1.99953096
"Herne Bay, Kent",GBR,,32.5587334,,5.640909091,Production,2027,Offshore wind,1.998445734
Heroya Industrial Park,NOR,,5.5,,0.932178261,Production,2022,Unknown,6.99974744
Herten HRS,DEU,,2.934687805,,0.44,Production,,Others/Various,4.999870849
HEVO- Aveiro,PRT,,25,,3.748269231,Production,2025,,1.99880936
HEVO Sines (Phase 1),PRT,,10,,1.499307692,Production,2025,Solar PV,1.99953096
HEVO Sines (Phase 2),PRT,,91,,13.6437,Production,2026,Solar PV,1.995634319
HEVO Sines (Phase 3),PRT,,530,,79.46330769,Production,2028,Solar PV,1.974515489
HEVO-Industria,PRT,,6.6,,0.989543077,Production,2025,,1.999694523
HEVO-Morocco,MAR,,689.2069844,,103.3333333,Production,2026,Solar PV,1.96685657
HEVO-Sul,PRT,,4.3,,0.644702308,Production,2024,Solar PV,1.999805168
Heysham demonstrator 1,GBR,,1,,0.205168421,Production,,,1.99996392
H-FLEX-E​,FIN,,10,,1.732533333,Production,2026,Unknown,6.99953096
"HH2E - Met Northeast Germany, phase 1",DEU,,100,,16.94869565,Production,2025,Others/Various,4.995201359
"HH2E - Met Northeast Germany, phase 2",DEU,,1000,,173.2533333,Production,2030,Others/Various,4.951905351
Hidroelectrica - Sona,ROU,,100,,17.32533333,Production,2030,,1.995201359
Hidroelectrica Ostrovu Mare ,ROU,,50,,8.662666667,Production,2026,Solar PV,1.997606693
Hidrogeno El Cierzo,ESP,,7.2,,1.247424,Production,2028,,1.999665659
Hidrógeno Verde Bahía Quintero,CHL,,10,,1.694869565,Production,2025,,1.99953096
"Hidrolica, Tahivilla",ESP,,0.041,,0.006147162,Production,2008,,1.999989946
Hidroversol Castilla y León,ESP,,200,,34.65066667,Production,2025,Unknown,6.990390692
HIF Asia Pacific,AUS,,300,,51.976,Production,2028,,1.985580024
HIF USA,USA,,1800,,269.8753846,Production,2026,Others/Various,1.913420011
Higashi-Ogishima-Naga-Park,JPN,,0.0052,,0.00077964,Production,2015,Solar PV,1.999988223
Hitachi Zosen Inova HZI PtH Buchs,CHE,,2.3,,0.398482667,Production,2024,,1.999901381
Hive Energy green ammonia plant,ESP,,50.02308758,,7.5,Production,2026,Solar PV,1.997605582
"Hive H2 Albamed, phase 1",ESP,,800,,138.6026667,Production,2027,Others/Various,1.961526686
"Hive H2 Albamed, phase 2",ESP,,800,,138.6026667,Production,2030,Others/Various,1.961526686
HNH,CHL,,3000,,519.76,Production,2026,Onshore wind,1.855692
